experiment_id,epoch,train_loss,train_acc,val_loss,val_acc
baseline,1,0.6896,0.5319,0.6397,0.6350
baseline,2,0.6053,0.6652,0.5621,0.7116
baseline,3,0.5444,0.7182,0.5334,0.7380
baseline,4,0.5087,0.7456,0.5036,0.7602
baseline,5,0.4833,0.7644,0.5028,0.7752
baseline,6,0.4639,0.7773,0.4768,0.7818
baseline,7,0.4469,0.7894,0.4614,0.7868
baseline,8,0.4318,0.7979,0.4471,0.7978
baseline,9,0.4197,0.8060,0.4407,0.8018
baseline,10,0.4088,0.8122,0.4444,0.8100
epochs_15,1,0.6758,0.5562,0.6073,0.6666
epochs_15,2,0.5796,0.6923,0.5513,0.7146
epochs_15,3,0.5364,0.7266,0.5273,0.7400
epochs_15,4,0.5043,0.7497,0.4968,0.7604
epochs_15,5,0.4827,0.7678,0.4809,0.7760
epochs_15,6,0.4604,0.7813,0.4717,0.7886
epochs_15,7,0.4435,0.7931,0.4609,0.7888
epochs_15,8,0.4306,0.8004,0.4441,0.7994
epochs_15,9,0.4193,0.8058,0.4558,0.7996
epochs_15,10,0.4079,0.8124,0.4329,0.8080
epochs_15,11,0.3988,0.8182,0.4531,0.8004
epochs_15,12,0.3890,0.8255,0.4322,0.8130
epochs_15,13,0.3818,0.8286,0.4252,0.8136
epochs_15,14,0.3745,0.8333,0.4207,0.8166
epochs_15,15,0.3705,0.8356,0.4167,0.8158
lr_2e4,1,0.6455,0.6038,0.5597,0.7108
lr_2e4,2,0.5303,0.7322,0.4937,0.7594
lr_2e4,3,0.4812,0.7689,0.4735,0.7806
lr_2e4,4,0.4463,0.7918,0.4610,0.7918
lr_2e4,5,0.4182,0.8083,0.4487,0.8002
lr_2e4,6,0.4022,0.8156,0.4389,0.8080
lr_2e4,7,0.3868,0.8256,0.4198,0.8174
lr_2e4,8,0.3746,0.8337,0.4173,0.8188
lr_2e4,9,0.3625,0.8400,0.4363,0.8224
lr_2e4,10,0.3556,0.8427,0.4049,0.8272
lr_2e4,11,0.3465,0.8482,0.4120,0.8276
lr_2e4,12,0.3378,0.8521,0.4250,0.8268
lr_2e4,13,0.3322,0.8558,0.4170,0.8282
lr_2e4,14,0.3255,0.8576,0.4128,0.8284
lr_2e4,15,0.3203,0.8609,0.4170,0.8302
